Jogador,Posição em quadra,Jogo,Min em quadra,Centesimos de minutos,Pontos,Cesta de 3 pts,Cesta de 2 pts,Lances Livres,Rebotes,Rebotes Ofensivos,Rebotes Defensivos,Assistências,Erros,índice de ass. por erro,Arremessos de 3 pts certos,Arremessos de 3 pts tentados,Cesta de 3 (%),Arremessos de 2 pts certos,Arremessos de 2 pts tentados,Arremessos 2 pts convertidos (%),Lances Livres Certos,Lances Livres Tentados,Lances Livres Convertidos (%),Enterradas,Bolas Recuperadas,Índice de bolas recuperadas por erro,Tocos,Faltas Cometidas,índice de tocos por faltas cometidas,Total de erros (soma de erros e violações),Violações,Eficiência,Duplos Duplos,Triplos Duplos
Isaac #7,Ala,33,24,28,7.94,5.36,1.52,01.06,2.91,2.91,2.33,1.36,0.91,1.50,4.45,1.79,40.14,0.76,1.64,46.30,01.06,1.45,72.92,0.06,0.48,0.53,0.03,2.30,0.01,0.91,0.12,7.88,0.00,0.00
L. Lacerda #10,Armador,23,23,98,10.04,4.70,3.13,2.22,2.39,2.39,02.04,3.96,1.83,2.17,4.52,1.57,34.62,1.57,3.13,50.00,2.22,2.43,91.07,0.00,0.74,0.40,0.04,1.65,0.03,1.83,0.17,10.61,0.00,0.00
Rodrigues #16,Pivô,39,23,95,8.28,0.00,6.77,1.51,05.05,05.05,3.21,0.44,0.74,0.59,0.05,0.00,0.00,3.38,5.67,59.73,1.51,2.23,67.82,1.23,0.41,0.55,0.51,2.31,0.22,0.74,0.13,10.90,0.05,0.00
Mogi #4,Ala,25,23,86,7.28,02.04,3.92,1.32,4.28,4.28,2.64,1.40,0.92,1.52,3.28,0.68,20.73,1.96,3.64,53.85,1.32,2.16,61.11,0.44,0.60,0.65,0.20,2.20,0.09,0.92,0.28,7.72,0.00,0.00
Crescenzi #2,Ala/Armador,40,23,65,7.63,3.38,3.55,0.70,3.45,3.45,2.38,1.98,1.35,1.46,3.20,1.13,35.16,1.78,3.60,49.31,0.70,0.98,71.79,0.00,0.85,0.63,0.13,1.95,0.06,1.35,0.28,8.50,0.00,0.00
Dikembe #20,Pivô,38,23,65,10.47,0.00,8.58,1.89,7.97,7.97,05.08,1.92,2.18,0.88,0.03,0.00,0.00,4.29,8.32,51.58,1.89,4.21,45.00,0.50,0.58,0.27,0.21,2.71,0.08,2.18,0.21,12.61,0.21,0.00
Fabricio #10,Ala/Pivô,32,23,60,8.78,6.47,1.25,01.06,03.06,03.06,2.66,1.63,0.97,1.68,5.28,2.16,40.83,0.63,1.16,54.05,01.06,1.66,64.15,0.00,0.63,0.65,0.09,02.03,0.05,0.97,0.06,8.97,0.00,0.00
Leal #2,Pivô,28,23,32,11.71,0.00,9.29,2.43,6.71,6.71,4.18,01.07,2.14,0.50,0.04,0.00,0.00,4.64,08.04,57.78,2.43,3.96,61.26,0.93,0.71,0.33,0.57,3.64,0.16,2.14,0.36,13.68,0.18,0.00
Elder #3,Ala/Armador,16,23,19,8.63,2.63,4.75,1.25,3.63,3.63,2.56,1.25,1.38,0.91,3.31,0.88,26.42,2.38,5.31,44.71,1.25,02.06,60.61,0.13,1.13,0.82,0.06,1.38,0.05,1.38,0.19,7.13,0.06,0.00
Silva #14,Ala/Pivô,25,23,15,6.40,1.68,3.68,01.04,6.28,6.28,4.44,1.20,1.24,0.97,2.00,0.56,28.00,1.84,3.44,53.49,01.04,1.60,65.00,0.28,0.72,0.58,0.36,3.20,0.11,1.24,0.04,10.12,0.04,0.00
Adyel #4,Ala/Armador,39,23,14,12.87,04.08,6.21,2.59,3.56,3.56,2.97,3.38,2.33,1.45,06.03,1.36,22.55,3.10,7.85,39.54,2.59,3.33,77.69,0.21,1.90,0.81,0.23,2.51,0.09,2.33,0.18,9.46,0.03,0.00
Cauê Borges #4,Ala,19,23,1,09.05,3.00,3.58,2.47,3.21,3.21,2.74,3.26,1.53,2.14,3.58,1.00,27.94,1.79,3.89,45.95,2.47,2.95,83.93,0.00,0.58,0.38,0.05,1.84,0.03,1.53,0.11,9.47,0.05,0.00
Barnes #34,Armador,34,22,79,12.74,6.97,4.76,1.00,1.15,1.15,0.94,2.41,1.21,2.00,5.71,2.32,40.72,2.38,5.53,43.09,1.00,1.15,87.18,0.00,0.29,0.24,0.00,2.12,0.00,1.21,0.12,8.71,0.00,0.00
Jhonatan #7,Ala,38,22,78,6.89,3.71,2.26,0.92,03.05,03.05,2.21,1.39,0.89,1.56,2.74,1.24,45.19,1.13,1.89,59.72,0.92,1.29,71.43,0.03,0.42,0.47,0.13,2.42,0.05,0.89,0.08,8.37,0.03,0.00
Pierotti #4,Armador,34,22,75,9.00,2.82,3.65,2.53,1.88,1.88,1.41,2.76,01.03,2.69,3.38,0.94,27.83,1.82,04.03,45.26,2.53,3.21,78.90,0.00,0.59,0.57,0.00,1.68,0.00,01.03,0.15,7.88,0.00,0.00
Vildoza #11,Armador,33,22,54,9.24,05.09,2.85,1.30,2.58,2.58,2.42,2.97,1.82,1.63,05.09,1.70,33.33,1.42,3.12,45.63,1.30,1.55,84.31,0.00,0.88,0.48,0.03,1.85,0.02,1.82,0.15,8.55,0.00,0.00
Anderson #32,Ala,40,22,34,6.60,2.33,2.95,1.33,4.55,4.55,3.30,1.00,0.95,01.05,3.13,0.78,24.80,1.48,3.60,40.97,1.33,02.08,63.86,0.05,1.20,1.26,0.13,2.60,0.05,0.95,0.15,7.30,0.03,0.00
Mineiro #12,Ala/Pivô,33,22,34,7.36,3.18,3.15,01.03,4.45,4.45,3.15,1.76,1.12,1.57,2.82,01.06,37.63,1.58,3.33,47.27,01.03,1.55,66.67,0.15,0.58,0.51,0.45,1.33,0.34,1.12,0.15,9.45,0.00,0.00
Rafa #16,Pivô,31,22,9,7.26,2.32,3.68,1.26,3.58,3.58,2.58,1.00,0.94,01.07,1.74,0.77,44.44,1.84,2.94,62.64,1.26,1.55,81.25,0.19,0.97,01.03,0.16,2.84,0.06,0.94,0.13,9.68,0.03,0.00
