Jogadores,Jogo,Min em quadra,Pontos,Cesta de 3 pts,Cesta de 2 pts,Lances Livres,Rebotes,Rebotes Ofensivos,Rebotes Defensivos,Assistências,Erros,índice de ass. por erro,Arremessos de 3 pts certos,Arremessos de 3 pts tentados,Cesta de 3 (%),Arremessos de 2 pts certos,Arremessos de 2 pts tentados,Arremessos 2 pts convertidos (%),Lances Livres Certos,Lances Livres Tentados,Lances Livres Convertidos (%),Enterradas,Bolas Recuperadas,Erros,Índice de bolas recuperadas por erro,Tocos,Faltas Cometidas,índice de tocos por faltas cometidas,Total de erros (soma de erros e violações),Violações,Erros,Eficiência,Pontos,Rebotes,Assistência,Bolas Recuperadas ,Tocos,Eficiência,Pontos,Rebotes,Assistências,Bolas Recuperadas,Tocos,Duplos Duplos,Triplos Duplos
Adyel #4,39,23.14,12.87,04.08,6.21,2.59,3.56,3.56,2.97,3.38,2.33,1.45,06.03,1.36,22.55,3.10,7.85,39.54,2.59,3.33,77.69,0.21,1.90,2.33,0.81,0.23,2.51,0.09,2.33,0.18,2.33,9.46,12.87,3.56,3.38,1.90,0.23,9.46,12.87,3.56,3.38,1.90,0.23,0.03,0.00
Barnes #34,34,22.79,12.74,6.97,4.76,1.00,1.15,1.15,0.94,2.41,1.21,2.00,5.71,2.32,40.72,2.38,5.53,43.09,1.00,1.15,87.18,0.00,0.29,1.21,0.24,0.00,2.12,0.00,1.21,0.12,1.21,8.71,12.74,1.15,2.41,0.29,0.00,8.71,12.74,1.15,2.41,0.29,0.00,0.00,0.00
Gaskins #2,37,28.69,12.73,6.16,4.27,2.30,3.43,3.43,2.89,2.68,1.95,1.38,5.19,02.05,39.58,2.14,4.92,43.41,2.30,2.78,82.52,0.00,0.59,1.95,0.31,0.00,2.62,0.00,1.95,0.32,1.95,11.08,12.73,3.43,2.68,0.59,0.00,11.08,12.73,3.43,2.68,0.59,0.00,0.00,0.00
Tyrone #0,15,27.62,12.67,5.20,5.33,2.13,5.13,5.13,3.93,02.07,02.07,1.00,6.00,1.73,28.89,2.67,4.60,57.97,2.13,2.93,72.73,0.20,1.53,02.07,0.74,0.27,2.73,0.10,02.07,0.07,02.07,12.60,12.67,5.13,02.07,1.53,0.27,12.60,12.67,5.13,02.07,1.53,0.27,0.00,0.00
Humberto #19,32,33.28,12.63,05.06,4.75,2.81,4.50,4.50,3.50,02.06,2.25,0.92,5.53,1.69,30.51,2.38,5.56,42.70,2.81,04.06,69.23,0.06,1.22,2.25,0.54,0.25,2.38,0.11,2.25,0.19,2.25,10.13,12.63,4.50,02.06,1.22,0.25,10.13,12.63,4.50,02.06,1.22,0.25,0.03,0.00
Materan #10,26,27.52,12.58,6.81,4.69,01.08,4.12,4.12,3.58,2.23,1.81,1.23,5.65,2.27,40.14,2.35,4.23,55.45,01.08,2.23,48.28,0.00,0.81,1.81,0.45,0.15,2.65,0.06,1.81,0.42,1.81,11.65,12.58,4.12,2.23,0.81,0.15,11.65,12.58,4.12,2.23,0.81,0.15,0.00,0.00
Gabriel Jaú #9,39,24.62,12.56,2.85,7.79,1.92,7.10,7.10,4.77,1.97,2.38,0.83,2.23,0.95,42.53,3.90,5.90,66.09,1.92,03.03,63.56,0.51,0.74,2.38,0.31,0.54,2.59,0.21,2.38,0.33,2.38,16.15,12.56,7.10,1.97,0.74,0.54,16.15,12.56,7.10,1.97,0.74,0.54,0.21,0.00
Sheard #3,26,30.79,12.46,6.69,3.31,2.46,1.85,1.85,1.35,3.62,3.19,1.13,6.58,2.23,33.92,1.65,3.23,51.19,2.46,2.88,85.33,0.00,1.00,3.19,0.31,0.04,2.88,0.01,3.19,0.38,3.19,9.42,12.46,1.85,3.62,1.00,0.04,9.42,12.46,1.85,3.62,1.00,0.04,0.00,0.00
Harris #23,27,27.51,12.26,4.11,5.78,2.37,4.59,4.59,3.48,2.59,2.67,0.97,4.56,1.37,30.08,2.89,06.07,47.56,2.37,3.00,79.01,0.22,1.41,2.67,0.53,0.63,2.30,0.27,2.67,0.74,2.67,11.81,12.26,4.59,2.59,1.41,0.63,11.81,12.26,4.59,2.59,1.41,0.63,0.04,0.00
Wesley #21,36,25.57,12.11,3.92,6.22,1.97,5.83,5.83,4.36,1.39,1.81,0.77,4.11,1.31,31.76,3.11,4.97,62.57,1.97,2.58,76.34,0.69,0.61,1.81,0.34,0.42,2.14,0.19,1.81,0.36,1.81,13.28,12.11,5.83,1.39,0.61,0.42,13.28,12.11,5.83,1.39,0.61,0.42,0.14,0.00
Gui Abreu #33,37,28.91,12.11,2.92,6.81,2.38,5.46,5.46,3.41,1.89,0.92,02.06,3.32,0.97,29.27,3.41,6.00,56.76,2.38,03.08,77.19,0.38,1.16,0.92,1.26,0.22,1.76,0.12,0.92,0.11,0.92,14.27,12.11,5.46,1.89,1.16,0.22,14.27,12.11,5.46,1.89,1.16,0.22,0.03,0.00
Maique #35,33,26.71,12.06,3.36,7.21,1.48,6.27,6.27,4.30,01.03,1.42,0.72,2.73,1.12,41.11,3.61,5.24,68.79,1.48,1.70,87.50,0.91,0.42,1.42,0.30,1.00,3.18,0.31,1.42,0.39,1.42,15.91,12.06,6.27,01.03,0.42,1.00,15.91,12.06,6.27,01.03,0.42,1.00,0.09,0.00
Renato #15,35,27.97,12.03,02.06,7.66,2.31,6.14,6.14,3.89,2.71,2.43,1.12,2.37,0.69,28.92,3.83,6.71,57.02,2.31,3.14,73.64,0.43,0.77,2.43,0.32,0.23,2.26,0.10,2.43,0.23,2.43,14.06,12.03,6.14,2.71,0.77,0.23,14.06,12.03,6.14,2.71,0.77,0.23,0.11,0.00
Williams #1,14,27.81,12.00,3.21,6.43,2.36,2.21,2.21,1.86,0.71,1.00,0.71,2.71,01.07,39.47,3.21,7.29,44.12,2.36,3.29,71.74,0.64,0.86,1.00,0.86,0.07,1.86,0.04,1.00,0.29,1.00,8.21,12.00,2.21,0.71,0.86,0.07,8.21,12.00,2.21,0.71,0.86,0.07,0.00,0.00
Fischer #5,37,26.56,11.86,4.70,4.32,2.84,3.68,3.68,3.32,4.70,02.08,2.26,4.46,1.57,35.15,2.16,04.03,53.69,2.84,3.68,77.21,0.00,0.84,02.08,0.40,0.00,02.05,0.00,02.08,0.11,02.08,13.41,11.86,3.68,4.70,0.84,0.00,13.41,11.86,3.68,4.70,0.84,0.00,0.08,0.00
Da Silva #7,31,26.11,11.81,2.32,7.42,02.06,6.68,6.68,4.81,0.65,1.52,0.43,02.06,0.77,37.50,3.71,6.39,58.08,02.06,3.13,65.98,1.16,0.77,1.52,0.51,0.32,2.32,0.14,1.52,0.19,1.52,13.68,11.81,6.68,0.65,0.77,0.32,13.68,11.81,6.68,0.65,0.77,0.32,0.29,0.00
Arthur #36,33,27.19,11.79,4.55,5.58,1.67,04.06,04.06,2.88,0.91,1.55,0.59,3.52,1.52,43.10,2.79,6.45,43.19,1.67,2.42,68.75,0.06,0.85,1.55,0.55,0.21,02.06,0.10,1.55,0.21,1.55,9.85,11.79,04.06,0.91,0.85,0.21,9.85,11.79,04.06,0.91,0.85,0.21,0.03,0.00
Cuello #44,37,29.02,11.78,5.76,4.54,1.49,3.76,3.76,2.51,3.38,1.38,2.45,4.59,1.92,41.76,2.27,04.08,55.63,1.49,1.92,77.46,0.00,0.70,1.38,0.51,0.14,1.38,0.10,1.38,0.19,1.38,13.46,11.78,3.76,3.38,0.70,0.14,13.46,11.78,3.76,3.38,0.70,0.14,0.03,0.00
Leal #2,28,23.32,11.71,0.00,9.29,2.43,6.71,6.71,4.18,01.07,2.14,0.50,0.04,0.00,0.00,4.64,08.04,57.78,2.43,3.96,61.26,0.93,0.71,2.14,0.33,0.57,3.64,0.16,2.14,0.36,2.14,13.68,11.71,6.71,01.07,0.71,0.57,13.68,11.71,6.71,01.07,0.71,0.57,0.18,0.00
Renan #44,37,28.36,11.70,5.84,4.22,1.65,5.22,5.22,3.70,1.46,1.00,1.46,5.43,1.95,35.82,2.11,3.62,58.21,1.65,1.95,84.72,0.70,0.54,1.00,0.54,0.65,2.11,0.31,1.00,0.19,1.00,13.27,11.70,5.22,1.46,0.54,0.65,13.27,11.70,5.22,1.46,0.54,0.65,0.03,0.00
Fuzaro #9,39,29.67,11.69,3.23,6.31,2.15,4.18,4.18,3.49,03.08,1.95,1.58,3.26,01.08,33.07,3.15,5.79,54.42,2.15,2.87,75.00,0.26,1.51,1.95,0.78,0.26,2.85,0.09,1.95,0.36,1.95,13.23,11.69,4.18,03.08,1.51,0.26,13.23,11.69,4.18,03.08,1.51,0.26,0.05,0.00
Hettsheimeir #30,31,20.63,11.65,4.74,5.10,1.81,4.26,4.26,3.19,0.65,1.10,0.59,4.00,1.58,39.52,2.55,3.90,65.29,1.81,2.35,76.71,0.10,0.48,1.10,0.44,0.10,1.65,0.06,1.10,0.42,1.10,11.71,11.65,4.26,0.65,0.48,0.10,11.71,11.65,4.26,0.65,0.48,0.10,0.00,0.00
Holloway #1,20,25.47,11.60,1.95,6.50,3.15,6.30,6.30,4.55,1.65,1.90,0.87,2.35,0.65,27.66,3.25,6.65,48.87,3.15,4.25,74.12,0.10,1.15,1.90,0.61,0.30,2.75,0.11,1.90,0.20,1.90,12.90,11.60,6.30,1.65,1.15,0.30,12.90,11.60,6.30,1.65,1.15,0.30,0.25,0.00
Gemerson #6,39,30.03,11.38,05.08,4.82,1.49,5.18,5.18,3.72,1.10,1.15,0.96,4.69,1.69,36.07,2.41,4.64,51.93,1.49,2.00,74.36,0.05,0.79,1.15,0.69,0.05,3.33,0.02,1.15,0.15,1.15,11.62,11.38,5.18,1.10,0.79,0.05,11.62,11.38,5.18,1.10,0.79,0.05,0.08,0.00
Mãozinha #45,32,28.98,11.22,1.50,08.06,1.66,9.75,9.75,7.38,0.78,0.78,1.00,1.47,0.50,34.04,04.03,5.63,71.67,1.66,2.72,60.92,1.94,1.00,0.78,1.28,1.16,2.66,0.44,0.78,0.16,0.78,19.50,11.22,9.75,0.78,1.00,1.16,19.50,11.22,9.75,0.78,1.00,1.16,0.47,0.00
Cassiano #7,32,27.27,11.00,3.66,5.44,1.91,3.41,3.41,2.44,3.88,1.81,2.14,03.03,1.22,40.21,2.72,5.94,45.79,1.91,2.66,71.76,0.00,01.06,1.81,0.59,0.03,2.69,0.01,1.81,0.41,1.81,11.78,11.00,3.41,3.88,01.06,0.03,11.78,11.00,3.41,3.88,01.06,0.03,0.03,0.00
Machuca #8,36,26.59,11.00,6.33,2.22,2.44,2.78,2.78,2.36,4.22,1.86,2.27,5.11,2.11,41.30,1.11,2.25,49.38,2.44,2.81,87.13,0.00,1.17,1.86,0.63,0.00,02.08,0.00,1.86,0.31,1.86,12.81,11.00,2.78,4.22,1.17,0.00,12.81,11.00,2.78,4.22,1.17,0.00,0.00,0.00
Ronald #6,21,24.90,10.76,0.00,8.48,2.29,8.57,8.57,4.38,0.62,2.00,0.31,0.19,0.00,0.00,4.24,8.24,51.45,2.29,3.62,63.16,0.90,0.33,2.00,0.17,0.71,3.10,0.23,2.00,0.19,2.00,13.48,10.76,8.57,0.62,0.33,0.71,13.48,10.76,8.57,0.62,0.33,0.71,0.33,0.00
Matheusinho #2,32,24.66,10.63,1.88,6.75,2.00,3.84,3.84,3.22,4.28,2.75,1.56,3.59,0.63,17.39,3.38,7.22,46.75,2.00,3.59,55.65,0.00,1.56,2.75,0.57,0.09,2.94,0.03,2.75,0.50,2.75,9.25,10.63,3.84,4.28,1.56,0.09,9.25,10.63,3.84,4.28,1.56,0.09,0.03,0.00
Ruivo #4,38,33.28,10.55,5.92,2.26,2.37,2.82,2.82,2.45,7.13,1.76,04.04,5.34,1.97,36.95,1.13,2.68,42.16,2.37,2.82,84.11,0.00,0.92,1.76,0.52,0.03,1.29,0.02,1.76,0.11,1.76,14.32,10.55,2.82,7.13,0.92,0.03,14.32,10.55,2.82,7.13,0.92,0.03,0.13,0.00
Dikembe #20,38,23.65,10.47,0.00,8.58,1.89,7.97,7.97,05.08,1.92,2.18,0.88,0.03,0.00,0.00,4.29,8.32,51.58,1.89,4.21,45.00,0.50,0.58,2.18,0.27,0.21,2.71,0.08,2.18,0.21,2.18,12.61,10.47,7.97,1.92,0.58,0.21,12.61,10.47,7.97,1.92,0.58,0.21,0.21,0.00
