Jogadores,Jogo,Min em quadra,Pontos,Cesta de 3 pts,Cesta de 2 pts,Lances Livres,Rebotes,Rebotes Ofensivos,Rebotes Defensivos,Assistências,Erros,índice de ass. por erro,Arremessos de 3 pts certos,Arremessos de 3 pts tentados,Cesta de 3 (%),Arremessos de 2 pts certos,Arremessos de 2 pts tentados,Arremessos 2 pts convertidos (%),Lances Livres Certos,Lances Livres Tentados,Lances Livres Convertidos (%),Enterradas,Bolas Recuperadas,Erros,Índice de bolas recuperadas por erro,Tocos,Faltas Cometidas,índice de tocos por faltas cometidas,Total de erros (soma de erros e violações),Violações,Erros,Eficiência,Pontos,Rebotes,Assistência,Bolas Recuperadas ,Tocos,Eficiência,Pontos,Rebotes,Assistências,Bolas Recuperadas,Tocos,Duplos Duplos,Triplos Duplos
Michel #24,35,20.37,5.43,3.43,1.60,0.40,2.34,2.34,1.63,1.60,1.20,1.33,4.20,1.14,27.21,0.80,1.94,41.18,0.40,0.86,46.67,0.00,1.43,1.20,1.19,0.00,02.09,0.00,1.20,0.29,1.20,4.94,5.43,2.34,1.60,1.43,0.00,4.94,5.43,2.34,1.60,1.43,0.00,0.00,0.00
Onwenu #1,33,14.15,5.39,1.45,2.97,0.97,1.91,1.91,1.30,1.00,1.15,0.87,1.67,0.48,29.09,1.48,2.73,54.44,0.97,1.52,64.00,0.15,0.55,1.15,0.47,0.27,1.55,0.18,1.15,0.21,1.15,5.00,5.39,1.91,1.00,0.55,0.27,5.00,5.39,1.91,1.00,0.55,0.27,0.00,0.00
Du Sommer #17,32,14.59,5.38,0.56,3.50,1.31,2.41,2.41,1.41,0.31,0.81,0.38,0.97,0.19,19.35,1.75,03.06,57.14,1.31,1.91,68.85,0.19,0.25,0.81,0.31,0.03,1.91,0.02,0.81,0.13,0.81,4.88,5.38,2.41,0.31,0.25,0.03,4.88,5.38,2.41,0.31,0.25,0.03,0.03,0.00
Aguirre #7,37,19.41,5.27,1.86,2.92,0.49,3.11,3.11,2.00,2.95,01.05,2.79,3.46,0.62,17.97,1.46,2.54,57.45,0.49,0.62,78.26,0.00,0.84,01.05,0.79,0.03,1.76,0.02,01.05,0.11,01.05,07.08,5.27,3.11,2.95,0.84,0.03,07.08,5.27,3.11,2.95,0.84,0.03,0.03,0.00
Penteado #12,33,14.90,5.12,3.00,1.58,0.55,3.00,3.00,1.82,01.06,0.79,1.35,2.91,1.00,34.38,0.79,1.58,50.00,0.55,0.76,72.00,0.00,0.61,0.79,0.77,0.15,2.39,0.06,0.79,0.06,0.79,6.24,5.12,3.00,01.06,0.61,0.15,6.24,5.12,3.00,01.06,0.61,0.15,0.00,0.00
Rojas #12,32,11.22,4.81,0.19,3.56,01.06,2.97,2.97,1.66,0.19,1.13,0.17,0.66,0.06,9.52,1.78,2.84,62.64,01.06,1.59,66.67,0.38,0.13,1.13,0.11,0.53,2.31,0.23,1.13,0.28,1.13,5.31,4.81,2.97,0.19,0.13,0.53,5.31,4.81,2.97,0.19,0.13,0.53,0.03,0.00
L. Cauê #23,18,13.82,4.72,0.00,3.67,01.06,4.17,4.17,2.72,0.89,0.89,1.00,0.44,0.00,0.00,1.83,3.72,49.25,01.06,1.56,67.86,0.22,0.44,0.89,0.50,0.17,1.72,0.10,0.89,0.00,0.89,6.67,4.72,4.17,0.89,0.44,0.17,6.67,4.72,4.17,0.89,0.44,0.17,0.00,0.00
Cauê #8,37,18.58,4.65,2.11,2.00,0.54,3.24,3.24,2.70,2.54,0.84,03.03,2.14,0.70,32.91,1.00,2.41,41.57,0.54,0.68,80.00,0.00,0.84,0.84,1.00,0.08,2.43,0.03,0.84,0.14,0.84,7.54,4.65,3.24,2.54,0.84,0.08,7.54,4.65,3.24,2.54,0.84,0.08,0.00,0.00
Robson Jr #15,26,13.26,4.23,2.31,1.62,0.31,1.23,1.23,01.04,1.73,1.23,1.41,2.35,0.77,32.79,0.81,2.00,40.38,0.31,0.50,61.54,0.00,0.58,1.23,0.47,0.04,1.35,0.03,1.23,0.08,1.23,3.62,4.23,1.23,1.73,0.58,0.04,3.62,4.23,1.23,1.73,0.58,0.04,0.00,0.00
Tiago #13,32,21.74,4.16,3.00,0.94,0.22,3.41,3.41,2.53,0.69,0.84,0.81,03.09,1.00,32.32,0.47,1.50,31.25,0.22,0.44,50.00,0.03,0.75,0.84,0.89,0.03,1.59,0.02,0.84,0.22,0.84,4.84,4.16,3.41,0.69,0.75,0.03,4.84,4.16,3.41,0.69,0.75,0.03,0.03,0.00
Pedro #9,34,31.34,9.85,4.24,04.06,1.56,3.47,3.47,3.12,2.59,02.06,1.26,5.44,1.41,25.95,02.03,4.50,45.10,1.56,2.29,67.95,0.00,1.59,02.06,0.77,0.18,2.44,0.07,02.06,0.47,02.06,8.38,9.85,3.47,2.59,1.59,0.18,05.06,4.12,1.76,0.82,0.76,0.09,0.00,0.00
Mogi #3,10,15.23,4.10,2.10,1.80,0.20,1.40,1.40,1.40,1.60,0.70,2.29,2.10,0.70,33.33,0.90,2.20,40.91,0.20,0.30,66.67,0.00,0.00,0.70,0.00,0.10,1.30,0.08,0.70,0.00,0.70,3.70,4.10,1.40,1.60,0.00,0.10,3.70,4.10,1.40,1.60,0.00,0.10,0.00,0.00
Serjão #21,24,12.90,4.00,0.25,3.25,0.50,3.00,3.00,2.25,0.42,01.08,0.38,0.33,0.08,25.00,1.63,2.71,60.00,0.50,0.96,52.17,0.42,0.42,01.08,0.38,0.54,1.83,0.30,01.08,0.21,01.08,5.50,4.00,3.00,0.42,0.42,0.54,5.50,4.00,3.00,0.42,0.42,0.54,0.00,0.00
Pastor #8,32,12.36,3.94,1.88,1.75,0.31,2.31,2.31,1.41,0.50,0.63,0.80,1.91,0.63,32.79,0.88,1.47,59.57,0.31,0.50,62.50,0.06,0.31,0.63,0.50,0.06,1.50,0.04,0.63,0.16,0.63,4.44,3.94,2.31,0.50,0.31,0.06,4.44,3.94,2.31,0.50,0.31,0.06,0.00,0.00
J. Pedro #15,22,11.57,3.91,0.41,3.27,0.23,2.41,2.41,1.73,0.14,0.59,0.23,0.64,0.14,21.43,1.64,3.77,43.37,0.23,0.32,71.43,0.09,0.14,0.59,0.23,0.55,1.18,0.46,0.59,0.09,0.59,3.82,3.91,2.41,0.14,0.14,0.55,3.82,3.91,2.41,0.14,0.14,0.55,0.00,0.00
Gusmão #10,31,13.65,3.87,0.00,3.35,0.52,4.13,4.13,2.68,0.39,0.48,0.80,0.06,0.00,0.00,1.68,3.61,46.43,0.52,0.74,69.57,0.13,0.23,0.48,0.47,0.35,1.13,0.31,0.48,0.10,0.48,6.26,3.87,4.13,0.39,0.23,0.35,6.26,3.87,4.13,0.39,0.23,0.35,0.03,0.00
Teichmann #11,31,18.86,3.74,0.00,3.48,0.26,4.61,4.61,3.52,3.26,1.74,1.87,0.10,0.00,0.00,1.74,3.26,53.47,0.26,0.74,34.78,0.19,0.94,1.74,0.54,0.52,3.16,0.16,1.74,0.06,1.74,9.23,3.74,4.61,3.26,0.94,0.52,9.23,3.74,4.61,3.26,0.94,0.52,0.00,0.00
Reynan #29,43,9.58,3.72,1.74,1.40,0.58,1.35,1.35,0.95,0.51,0.33,1.57,1.58,0.58,36.76,0.70,1.21,57.69,0.58,0.91,64.10,0.14,0.47,0.33,1.43,0.16,1.33,0.12,0.33,0.05,0.33,04.05,3.72,1.35,0.51,0.47,0.16,04.05,3.72,1.35,0.51,0.47,0.16,0.00,0.00
Jamison Jr #1,25,8.55,3.32,02.04,01.04,0.24,0.96,0.96,0.48,0.24,0.52,0.46,1.60,0.68,42.50,0.52,01.04,50.00,0.24,0.32,75.00,0.00,0.36,0.52,0.69,0.08,0.84,0.10,0.52,0.04,0.52,2.92,3.32,0.96,0.24,0.36,0.08,2.92,3.32,0.96,0.24,0.36,0.08,0.00,0.00
André #10,38,10.17,3.29,0.08,2.63,0.58,2.79,2.79,1.53,0.29,0.50,0.58,0.13,0.03,20.00,1.32,2.37,55.56,0.58,0.89,64.71,0.24,0.11,0.50,0.21,0.50,01.08,0.46,0.50,0.00,0.50,5.00,3.29,2.79,0.29,0.11,0.50,5.00,3.29,2.79,0.29,0.11,0.50,0.00,0.00
Buiú #14,37,8.42,3.19,02.03,0.86,0.30,0.73,0.73,0.59,0.68,0.62,01.09,1.73,0.68,39.06,0.43,1.19,36.36,0.30,0.46,64.71,0.03,0.49,0.62,0.78,0.03,1.00,0.03,0.62,0.14,0.62,2.51,3.19,0.73,0.68,0.49,0.03,2.51,3.19,0.73,0.68,0.49,0.03,0.00,0.00
Alex #13,32,9.36,3.13,0.28,2.38,0.47,2.72,2.72,1.63,0.50,0.59,0.84,0.16,0.09,60.00,1.19,2.28,52.05,0.47,1.13,41.67,0.28,0.38,0.59,0.63,0.09,1.00,0.09,0.59,0.09,0.59,4.41,3.13,2.72,0.50,0.38,0.09,4.41,3.13,2.72,0.50,0.38,0.09,0.00,0.00
Josuel #12,29,13.08,3.10,1.14,1.79,0.17,1.10,1.10,0.66,0.48,0.48,1.00,1.31,0.38,28.95,0.90,1.72,52.00,0.17,0.31,55.56,0.10,0.28,0.48,0.57,0.14,1.93,0.07,0.48,0.10,0.48,2.72,3.10,1.10,0.48,0.28,0.14,2.72,3.10,1.10,0.48,0.28,0.14,0.00,0.00
Gaede #14,1,3.92,3.00,3.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,2.00,1.00,50.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,2.00,3.00,0.00,1.00,0.00,0.00,2.00,3.00,0.00,1.00,0.00,0.00,0.00,0.00
Shamell #8,11,9.65,2.91,01.09,1.45,0.36,1.27,1.27,01.09,0.55,0.64,0.86,1.55,0.36,23.53,0.73,1.45,50.00,0.36,0.45,80.00,0.00,0.27,0.64,0.43,0.09,0.82,0.11,0.64,0.18,0.64,2.45,2.91,1.27,0.55,0.27,0.09,2.45,2.91,1.27,0.55,0.27,0.09,0.00,0.00
Egon #21,24,7.81,2.88,1.88,0.75,0.25,0.79,0.79,0.54,0.33,0.21,1.60,2.00,0.63,31.25,0.38,0.63,60.00,0.25,0.25,100.00,0.00,0.13,0.21,0.60,0.00,1.00,0.00,0.21,0.08,0.21,2.29,2.88,0.79,0.33,0.13,0.00,2.29,2.88,0.79,0.33,0.13,0.00,0.00,0.00
Vitor #19,27,8.36,2.78,1.44,01.04,0.30,0.59,0.59,0.33,0.19,0.19,1.00,1.15,0.48,41.94,0.52,1.00,51.85,0.30,0.59,50.00,0.04,0.22,0.19,1.20,0.04,0.70,0.05,0.19,0.04,0.19,2.19,2.78,0.59,0.19,0.22,0.04,2.19,2.78,0.59,0.19,0.22,0.04,0.00,0.00
Landeira #22,20,9.64,2.65,1.65,0.50,0.50,1.25,1.25,0.95,1.80,0.75,2.40,1.75,0.55,31.43,0.25,0.80,31.25,0.50,0.65,76.92,0.00,0.25,0.75,0.33,0.05,1.20,0.04,0.75,0.25,0.75,3.35,2.65,1.25,1.80,0.25,0.05,3.35,2.65,1.25,1.80,0.25,0.05,0.00,0.00
Leoni #3,12,4.26,2.58,1.50,0.50,0.58,0.17,0.17,0.08,1.33,0.08,16.00,0.75,0.50,66.67,0.25,0.83,30.00,0.58,0.67,87.50,0.00,0.17,0.08,2.00,0.00,0.25,0.00,0.08,0.00,0.08,3.25,2.58,0.17,1.33,0.17,0.00,3.25,2.58,0.17,1.33,0.17,0.00,0.00,0.00
M. Douglas #13,31,9.11,2.55,0.00,2.13,0.42,2.10,2.10,1.32,0.29,0.84,0.35,0.03,0.00,0.00,01.06,02.03,52.38,0.42,0.74,56.52,0.32,0.23,0.84,0.27,0.55,1.45,0.38,0.84,0.16,0.84,3.55,2.55,2.10,0.29,0.23,0.55,3.55,2.55,2.10,0.29,0.23,0.55,0.00,0.00
Anderson Jr #16,12,5.68,2.42,0.00,1.67,0.75,1.50,1.50,0.83,0.08,0.17,0.50,0.08,0.00,0.00,0.83,1.58,52.63,0.75,0.92,81.82,0.00,0.17,0.17,1.00,0.08,0.67,0.13,0.17,0.00,0.17,03.08,2.42,1.50,0.08,0.17,0.08,03.08,2.42,1.50,0.08,0.17,0.08,0.00,0.00
Victor #11,10,6.15,2.30,0.00,2.20,0.10,2.10,2.10,1.40,0.30,0.30,1.00,0.70,0.00,0.00,1.10,1.70,64.71,0.10,0.70,14.29,0.20,0.40,0.30,1.33,0.00,0.70,0.00,0.30,0.10,0.30,2.90,2.30,2.10,0.30,0.40,0.00,2.90,2.30,2.10,0.30,0.40,0.00,0.00,0.00
J. Prado #11,11,7.60,2.27,0.55,0.91,0.82,0.55,0.55,0.36,01.09,0.55,2.00,0.45,0.18,40.00,0.45,1.64,27.78,0.82,1.00,81.82,0.00,0.09,0.55,0.17,0.00,0.91,0.00,0.55,0.18,0.55,1.82,2.27,0.55,01.09,0.09,0.00,1.82,2.27,0.55,01.09,0.09,0.00,0.00,0.00
T. Faria #1,23,6.94,2.22,1.17,0.87,0.17,0.70,0.70,0.57,0.61,0.30,2.00,1.39,0.39,28.13,0.43,1.17,37.04,0.17,0.17,100.00,0.00,0.22,0.30,0.71,0.00,0.35,0.00,0.30,0.00,0.30,1.70,2.22,0.70,0.61,0.22,0.00,1.70,2.22,0.70,0.61,0.22,0.00,0.00,0.00
Beller #7,24,10.56,2.21,1.63,0.50,0.08,1.58,1.58,1.17,0.17,0.50,0.33,1.54,0.54,35.14,0.25,0.71,35.29,0.08,0.17,50.00,0.00,0.21,0.50,0.42,0.08,1.38,0.06,0.50,0.21,0.50,2.21,2.21,1.58,0.17,0.21,0.08,2.21,2.21,1.58,0.17,0.21,0.08,0.00,0.00
Calderón #3,21,08.04,2.19,0.57,1.52,0.10,1.00,1.00,0.81,0.48,0.38,1.25,0.86,0.19,22.22,0.76,1.76,43.24,0.10,0.19,50.00,0.05,0.14,0.38,0.38,0.10,1.38,0.07,0.38,0.14,0.38,1.76,2.19,1.00,0.48,0.14,0.10,1.76,2.19,1.00,0.48,0.14,0.10,0.00,0.00
Gabriel #11,27,11.15,2.19,1.11,0.81,0.26,1.52,1.52,1.15,0.89,0.44,2.00,1.22,0.37,30.30,0.41,0.85,47.83,0.26,0.67,38.89,0.00,0.63,0.44,1.42,0.04,1.48,0.03,0.44,0.04,0.44,3.11,2.19,1.52,0.89,0.63,0.04,3.11,2.19,1.52,0.89,0.63,0.04,0.00,0.00
Fidelis #17,29,07.01,2.10,0.41,1.45,0.24,1.21,1.21,0.90,0.14,0.28,0.50,0.59,0.14,23.53,0.72,1.45,50.00,0.24,0.52,46.67,0.07,0.10,0.28,0.38,0.07,1.24,0.06,0.28,0.07,0.28,1.90,2.10,1.21,0.14,0.10,0.07,1.90,2.10,1.21,0.14,0.10,0.07,0.00,0.00
Elias #27,15,07.05,02.07,0.80,0.93,0.33,0.53,0.53,0.33,0.40,0.47,0.86,0.87,0.27,30.77,0.47,0.73,63.64,0.33,0.87,38.46,0.00,0.40,0.47,0.86,0.00,1.47,0.00,0.47,0.33,0.47,1.53,02.07,0.53,0.40,0.40,0.00,1.53,02.07,0.53,0.40,0.40,0.00,0.00,0.00
Felipe #22,27,5.39,02.04,0.00,1.63,0.41,1.59,1.59,1.00,0.07,0.37,0.20,0.00,0.00,0.00,0.81,1.26,64.71,0.41,0.59,68.75,0.26,0.07,0.37,0.20,0.37,1.15,0.32,0.37,0.04,0.37,3.15,02.04,1.59,0.07,0.07,0.37,3.15,02.04,1.59,0.07,0.07,0.37,0.00,0.00
V. Cauã #3,1,7.80,2.00,0.00,2.00,0.00,1.00,1.00,1.00,0.00,0.00,1.00,1.00,0.00,0.00,1.00,1.00,100.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,2.00,0.00,0.00,0.00,0.00,1.00,2.00,1.00,0.00,0.00,0.00,1.00,2.00,1.00,0.00,0.00,0.00,0.00,0.00
Jonathan #9,1,1.78,2.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00,1.00,100.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,3.00,2.00,0.00,0.00,1.00,0.00,3.00,2.00,0.00,0.00,1.00,0.00,0.00,0.00
Omena #16,4,10.14,2.00,1.50,0.50,0.00,0.25,0.25,0.25,1.25,0.25,5.00,1.75,0.50,28.57,0.25,0.50,50.00,0.00,0.00,0.00,0.00,0.25,0.25,1.00,0.00,0.75,0.00,0.25,0.00,0.25,2.00,2.00,0.25,1.25,0.25,0.00,2.00,2.00,0.25,1.25,0.25,0.00,0.00,0.00
Lucas M. #10,6,6.77,2.00,0.00,1.67,0.33,0.33,0.33,0.33,1.33,0.67,2.00,1.00,0.00,0.00,0.83,1.33,62.50,0.33,0.33,100.00,0.00,0.50,0.67,0.75,0.00,2.33,0.00,0.67,0.17,0.67,2.00,2.00,0.33,1.33,0.50,0.00,2.00,2.00,0.33,1.33,0.50,0.00,0.00,0.00
Queirós #3,31,8.00,1.94,1.35,0.39,0.19,1.16,1.16,0.81,0.10,0.13,0.75,02.03,0.45,22.22,0.19,0.48,40.00,0.19,0.23,85.71,0.03,0.03,0.13,0.25,0.03,01.06,0.03,0.13,0.00,0.13,1.23,1.94,1.16,0.10,0.03,0.03,1.23,1.94,1.16,0.10,0.03,0.03,0.00,0.00
Vilarinho #4,21,8.77,1.90,1.57,0.29,0.05,0.48,0.48,0.33,0.67,0.81,0.82,2.10,0.52,25.00,0.14,0.71,20.00,0.05,0.10,50.00,0.00,0.29,0.81,0.35,0.05,1.00,0.05,0.81,0.24,0.81,0.38,1.90,0.48,0.67,0.29,0.05,0.38,1.90,0.48,0.67,0.29,0.05,0.00,0.00
Lelê #9,9,07.09,1.89,0.67,1.11,0.11,0.89,0.89,0.44,0.56,0.11,5.00,0.89,0.22,25.00,0.56,1.56,35.71,0.11,0.33,33.33,0.00,0.08,0.17,0.50,0.00,1.22,0.00,0.17,0.00,0.17,1.33,1.89,0.89,0.56,0.00,0.00,1.33,1.89,0.89,0.56,0.00,0.00,0.00,0.00
Pedro Nunes #10,8,09.03,1.88,0.00,1.75,0.13,2.38,2.38,1.63,0.63,0.50,1.25,0.13,0.00,0.00,0.88,1.50,58.33,0.13,0.63,20.00,0.00,0.25,0.50,0.50,0.25,0.75,0.33,0.50,0.00,0.50,3.63,1.88,2.38,0.63,0.25,0.25,3.63,1.88,2.38,0.63,0.25,0.25,0.00,0.00
Motta #9,23,10.81,1.87,0.39,1.30,0.17,1.91,1.91,1.52,0.39,0.83,0.47,01.09,0.13,12.00,0.65,1.61,40.54,0.17,0.48,36.36,0.00,0.39,0.83,0.47,0.09,01.09,0.08,0.83,0.17,0.83,1.61,1.87,1.91,0.39,0.39,0.09,1.61,1.87,1.91,0.39,0.39,0.09,0.00,0.00
Mitchell #4,5,7.47,1.80,0.00,1.60,0.20,0.60,0.60,0.60,0.80,0.60,1.33,0.80,0.00,0.00,0.80,1.80,44.44,0.20,0.80,25.00,0.00,0.80,0.60,1.33,0.00,1.00,0.00,0.60,0.20,0.60,1.00,1.80,0.60,0.80,0.80,0.00,1.00,1.80,0.60,0.80,0.80,0.00,0.00,0.00
Gabriel #7,26,7.89,1.77,01.04,0.46,0.27,0.54,0.54,0.46,0.19,0.58,0.33,1.35,0.35,25.71,0.23,0.85,27.27,0.27,0.38,70.00,0.08,0.27,0.58,0.47,0.12,1.19,0.10,0.58,0.27,0.58,0.58,1.77,0.54,0.19,0.27,0.12,0.58,1.77,0.54,0.19,0.27,0.12,0.00,0.00
M. Bonfim #19,34,7.15,1.74,0.35,1.24,0.15,1.44,1.44,0.85,0.24,0.53,0.44,0.50,0.12,23.53,0.62,1.26,48.84,0.15,0.35,41.67,0.21,0.21,0.53,0.39,0.38,1.18,0.33,0.53,0.18,0.53,2.24,1.74,1.44,0.24,0.21,0.38,2.24,1.74,1.44,0.24,0.21,0.38,0.00,0.00
Maciel #17,20,4.34,1.65,0.45,1.00,0.20,0.80,0.80,0.55,0.10,0.25,0.40,0.60,0.15,25.00,0.50,0.70,71.43,0.20,0.20,100.00,0.05,0.10,0.25,0.40,0.10,0.80,0.13,0.25,0.05,0.25,1.85,1.65,0.80,0.10,0.10,0.10,1.85,1.65,0.80,0.10,0.10,0.10,0.00,0.00
Nathan Fernandes #34,21,4.26,1.52,0.57,0.86,0.10,1.38,1.38,1.10,0.24,0.38,0.63,0.52,0.19,36.36,0.43,0.62,69.23,0.10,0.19,50.00,0.10,0.24,0.38,0.63,0.14,0.62,0.23,0.38,0.00,0.38,2.52,1.52,1.38,0.24,0.24,0.14,2.52,1.52,1.38,0.24,0.24,0.14,0.00,0.00
Arthur #26,2,3.88,1.50,1.50,0.00,0.00,1.50,1.50,1.50,0.00,0.00,1.00,0.50,0.50,100.00,0.00,0.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,2.50,1.50,1.50,0.00,0.00,0.00,2.50,1.50,1.50,0.00,0.00,0.00,0.00,0.00
G. Servelin #3,27,8.62,1.41,0.22,0.89,0.30,1.22,1.22,0.78,0.30,0.37,0.80,0.48,0.07,15.38,0.44,0.89,50.00,0.30,0.48,61.54,0.00,0.41,0.37,1.10,0.00,1.19,0.00,0.37,0.00,0.37,1.93,1.41,1.22,0.30,0.41,0.00,1.93,1.41,1.22,0.30,0.41,0.00,0.00,0.00
Agapy #33,15,4.82,1.40,0.00,01.07,0.33,1.87,1.87,1.00,0.20,0.33,0.60,0.20,0.00,0.00,0.53,01.07,50.00,0.33,0.67,50.00,0.13,0.20,0.33,0.60,0.33,1.00,0.33,0.33,0.07,0.33,2.60,1.40,1.87,0.20,0.20,0.33,2.60,1.40,1.87,0.20,0.20,0.33,0.00,0.00
Alexandrino #13,8,5.65,1.38,0.00,1.00,0.38,1.38,1.38,0.25,0.13,0.50,0.25,0.00,0.00,0.00,0.50,1.25,40.00,0.38,0.75,50.00,0.13,0.13,0.50,0.25,0.13,1.38,0.09,0.50,0.00,0.50,1.50,1.38,1.38,0.13,0.13,0.13,1.50,1.38,1.38,0.13,0.13,0.13,0.00,0.00
Ruiz #15,32,14.92,1.38,0.00,01.06,0.31,4.84,4.84,3.13,0.66,0.84,0.78,0.03,0.00,0.00,0.53,1.19,44.74,0.31,0.59,52.63,0.00,0.34,0.84,0.41,0.44,2.50,0.18,0.84,0.13,0.84,5.84,1.38,4.84,0.66,0.34,0.44,5.84,1.38,4.84,0.66,0.34,0.44,0.00,0.00
John #12,11,5.55,1.36,1.36,0.00,0.00,0.36,0.36,0.36,0.27,0.27,1.00,1.45,0.45,31.25,0.00,0.27,0.00,0.00,0.18,0.00,0.00,0.09,0.27,0.33,0.00,0.45,0.00,0.27,0.00,0.27,0.36,1.36,0.36,0.27,0.09,0.00,0.36,1.36,0.36,0.27,0.09,0.00,0.00,0.00
Alexei Patrício #19,31,6.85,1.35,0.19,0.97,0.19,1.16,1.16,1.16,1.00,0.58,1.72,0.42,0.06,15.38,0.48,1.23,39.47,0.19,0.42,46.15,0.00,0.10,0.58,0.17,0.03,1.23,0.03,0.58,0.03,0.58,1.74,1.35,1.16,1.00,0.10,0.03,1.74,1.35,1.16,1.00,0.10,0.03,0.00,0.00
Yuri #27,15,2.99,1.33,1.20,0.00,0.13,0.87,0.87,0.80,0.13,0.20,0.67,0.73,0.40,54.55,0.00,0.00,0.00,0.13,0.13,100.00,0.00,0.07,0.20,0.33,0.00,0.33,0.00,0.20,0.00,0.20,1.87,1.33,0.87,0.13,0.07,0.00,1.87,1.33,0.87,0.13,0.07,0.00,0.00,0.00
Edu Marília #11,34,5.74,1.26,0.62,0.29,0.35,01.09,01.09,0.85,0.00,0.18,0.00,0.82,0.21,25.00,0.15,0.44,33.33,0.35,0.38,92.31,0.03,0.09,0.18,0.50,0.09,1.35,0.07,0.18,0.00,0.18,1.41,1.26,01.09,0.00,0.09,0.09,1.41,1.26,01.09,0.00,0.09,0.09,0.00,0.00
Caldeira #6,4,1.66,1.25,0.75,0.50,0.00,0.00,0.00,0.00,0.50,0.50,1.00,0.25,0.25,100.00,0.25,0.25,100.00,0.00,0.00,0.00,0.00,0.00,0.50,0.00,0.00,0.50,0.00,0.50,0.00,0.50,1.25,1.25,0.00,0.50,0.00,0.00,1.25,1.25,0.00,0.50,0.00,0.00,0.00,0.00
Igor #16,4,2.83,1.25,0.00,1.00,0.25,0.25,0.25,0.00,0.00,0.50,0.00,0.00,0.00,0.00,0.50,0.75,66.67,0.25,0.50,50.00,0.50,0.00,0.50,0.00,0.00,0.50,0.00,0.50,0.25,0.50,0.50,1.25,0.25,0.00,0.00,0.00,0.50,1.25,0.25,0.00,0.00,0.00,0.00,0.00
Lelê #9,9,07.09,1.89,0.67,1.11,0.11,0.89,0.89,0.44,0.56,0.11,5.00,0.89,0.22,25.00,0.56,1.56,35.71,0.11,0.33,33.33,0.00,0.08,0.17,0.50,0.00,1.22,0.00,0.17,0.00,0.17,1.33,1.89,0.89,0.56,0.00,0.00,1.33,1.89,0.89,0.56,0.00,0.00,0.00,0.00
Paulo Zu #30,24,6.62,1.21,0.38,0.67,0.17,0.33,0.33,0.25,0.50,0.38,1.33,0.75,0.13,16.67,0.33,0.58,57.14,0.17,0.21,80.00,0.08,0.17,0.38,0.44,0.00,0.54,0.00,0.38,0.13,0.38,0.92,1.21,0.33,0.50,0.17,0.00,0.92,1.21,0.33,0.50,0.17,0.00,0.00,0.00
João Marcos #2,15,2.85,1.20,0.00,0.93,0.27,0.47,0.47,0.33,0.00,0.47,0.00,0.13,0.00,0.00,0.47,0.60,77.78,0.27,0.40,66.67,0.07,0.00,0.47,0.00,0.00,0.53,0.00,0.47,0.00,0.47,0.80,1.20,0.47,0.00,0.00,0.00,0.80,1.20,0.47,0.00,0.00,0.00,0.00,0.00
Vitor Borges #28,17,7.76,1.18,0.00,01.06,0.12,1.29,1.29,01.06,0.06,0.41,0.14,0.00,0.00,0.00,0.53,1.00,52.94,0.12,0.53,22.22,0.06,0.24,0.41,0.57,0.24,1.59,0.15,0.41,0.12,0.41,1.71,1.18,1.29,0.06,0.24,0.24,1.71,1.18,1.29,0.06,0.24,0.24,0.00,0.00
Brayan #17,1,2.78,1.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,2.00,50.00,0.00,0.00,0.00,1.00,2.00,0.00,1.00,0.00,0.00,0.00,2.00,1.00,0.00,0.00,0.00,2.00,2.00,1.00,0.00,0.00,0.00,2.00,0.00,0.00
Gui Bento #7,2,5.58,1.00,0.00,1.00,0.00,1.50,1.50,0.50,0.50,0.00,1.00,1.00,0.00,0.00,0.50,0.50,100.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.50,0.00,0.00,0.00,0.00,2.00,1.00,1.50,0.50,0.00,0.00,2.00,1.00,1.50,0.50,0.00,0.00,0.00,0.00
Raymundo #17,2,2.42,1.00,0.00,1.00,0.00,0.50,0.50,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.50,1.00,50.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.50,0.00,0.00,0.00,0.00,1.00,1.00,0.50,0.00,0.00,0.00,1.00,1.00,0.50,0.00,0.00,0.00,0.00,0.00
Breno #23,6,3.30,1.00,0.00,1.00,0.00,0.83,0.83,0.33,0.00,0.50,0.00,0.17,0.00,0.00,0.50,0.67,75.00,0.00,0.00,0.00,0.00,0.00,0.50,0.00,0.00,0.67,0.00,0.50,0.17,0.50,1.00,1.00,0.83,0.00,0.00,0.00,1.00,1.00,0.83,0.00,0.00,0.00,0.00,0.00
