,jogadores,jogo,min_em_quadra,pontos,cesta_de_3_pts,cesta_de_2_pts,lances_livres,rebotes,rebotes_ofensivos,rebotes_defensivos,assistências,erros,índice_de_ass,arremessos_de_3_pts_certos,arremessos_de_3_pts_tentados,cesta_de_3_(%),arremessos_de_2_pts_certos,arremessos_de_2_pts_tentados,arremessos_2_pts_convertidos_(%),lances_livres_certos,lances_livres_tentados,lances_livres_convertidos_(%),enterradas,bolas_recuperadas,índice_de_bolas_recuperadas_por_erro,tocos,faltas_cometidas,índice_de_tocos_por_faltas_cometidas,total_de_erros_(soma_de_erros_e_violações),violações,eficiência,assistência,bolas_recuperadas_,duplos_duplos,triplos_duplos,total_min
0,McClanahan #22,32,34.5,21.44,6.19,11.06,4.19,3.59,0.69,2.91,1.75,2.31,0.76,6.72,2.06,30.7,5.53,10.09,54.8,4.19,6.22,67.34,0.16,1.09,0.47,0.19,2.69,0.07,2.31,0.5,14.5,1.75,1.09,0.0,0.0,1104.0
1,Antonio #11,38,32.13,17.55,5.68,8.58,3.29,4.84,4.84,3.16,1.29,2.0,0.64,5.0,1.89,37.89,4.29,7.95,53.97,3.29,4.66,70.62,0.26,0.84,0.42,0.26,2.71,0.1,2.0,0.34,14.66,1.29,0.84,0.05,0.0,1220.94
2,Lucas Dias #9,38,31.55,17.29,6.16,8.79,2.34,7.42,7.42,5.63,2.42,1.87,1.3,5.08,2.05,40.41,4.39,7.34,59.86,2.34,3.03,77.39,0.37,0.79,0.42,0.53,2.13,0.25,1.87,0.18,19.92,2.42,0.79,0.24,0.03,1198.9
3,Lucas Mariano #28,44,27.24,17.07,6.61,7.5,2.95,5.5,5.5,4.07,1.52,1.68,0.91,6.36,2.2,34.64,3.75,6.34,59.14,2.95,3.98,74.29,0.61,0.82,0.49,0.32,1.91,0.17,1.68,0.14,15.77,1.52,0.82,0.07,0.0,1198.56
4,Thomas #0,34,32.0,17.0,4.94,8.24,3.82,4.79,4.79,4.26,3.88,3.82,1.02,4.82,1.65,34.15,4.12,7.79,52.83,3.82,5.21,73.45,0.56,1.15,0.3,0.38,2.41,0.16,3.82,0.65,15.15,3.88,1.15,0.03,0.0,1088.0
5,Gemadinha #35,32,33.05,16.94,8.53,4.81,3.59,3.41,3.41,2.75,3.88,2.44,1.59,8.16,2.84,34.87,2.41,5.91,40.74,3.59,4.38,82.14,0.0,1.03,0.42,0.03,3.0,0.01,2.44,0.38,13.25,3.88,1.03,0.0,0.0,1057.6
6,Johnson Sr #22,36,30.11,16.14,5.42,6.72,4.0,4.17,4.17,3.58,4.19,2.14,1.96,4.42,1.81,40.88,3.36,6.11,55.0,4.0,4.97,80.45,0.22,0.81,0.38,0.28,2.42,0.11,2.14,0.31,17.11,4.19,0.81,0.03,0.0,1083.96
7,Munford #14,38,30.21,15.61,4.03,8.32,3.26,7.08,7.08,5.29,1.66,1.24,1.34,4.21,1.34,31.88,4.16,8.16,50.97,3.26,3.87,84.35,0.03,0.71,0.57,0.26,2.13,0.12,1.24,0.13,16.61,1.66,0.71,0.21,0.0,1147.98
8,Roque #77,35,29.26,15.51,5.06,7.6,2.86,4.0,4.0,3.31,3.89,3.2,1.21,5.8,1.69,29.06,3.8,7.57,50.19,2.86,4.2,68.03,0.0,1.4,0.44,0.03,2.66,0.01,3.2,0.57,12.4,3.89,1.4,0.0,0.0,1024.1000000000001
9,Ruan #8,31,28.78,15.39,0.29,12.13,2.97,8.0,8.0,5.1,1.0,2.42,0.41,0.35,0.1,27.27,6.06,9.65,62.88,2.97,5.23,56.79,1.42,0.52,0.21,0.77,2.16,0.36,2.42,0.68,17.16,1.0,0.52,0.19,0.0,892.1800000000001
10,Miller #33,41,30.55,15.17,9.73,3.27,2.17,4.22,4.22,3.66,1.66,1.49,1.11,7.49,3.24,43.32,1.63,3.05,53.6,2.17,2.71,80.18,0.07,0.88,0.59,0.32,2.12,0.15,1.49,0.27,14.56,1.66,0.88,0.02,0.0,1252.55
11,Jonatan #50,24,32.43,14.63,6.5,5.92,2.21,2.83,2.83,2.0,2.08,1.63,1.28,5.38,2.17,40.31,2.96,5.79,51.08,2.21,2.5,88.33,0.0,0.92,0.56,0.0,1.38,0.0,1.63,0.29,12.5,2.08,0.92,0.0,0.0,778.3199999999999
12,Georginho #14,47,31.98,14.47,5.11,5.4,3.96,8.26,8.26,7.23,6.15,3.06,2.01,4.7,1.7,36.2,2.7,4.91,54.98,3.96,5.11,77.5,0.3,0.98,0.32,0.64,1.55,0.41,3.06,0.13,21.06,6.15,0.98,0.32,0.04,1503.06
13,Augusto #5,32,27.83,14.44,7.5,4.13,2.81,3.66,3.66,2.84,3.22,1.63,1.98,6.66,2.5,37.56,2.06,4.88,42.31,2.81,3.59,78.26,0.0,1.13,0.69,0.06,2.38,0.03,1.63,0.13,13.13,3.22,1.13,0.03,0.0,890.56
14,Gadson #23,8,26.48,14.25,5.63,7.0,1.63,4.75,4.75,4.0,2.75,2.5,1.1,3.13,1.88,60.0,3.5,5.5,63.64,1.63,1.75,92.86,0.0,0.63,0.25,0.13,1.75,0.07,2.5,0.88,16.63,2.75,0.63,0.0,0.0,211.84
15,Figueredo #91,35,30.15,14.23,7.29,4.69,2.26,4.03,4.03,3.43,6.37,2.6,2.45,6.06,2.43,40.09,2.34,4.43,52.9,2.26,2.66,84.95,0.0,1.0,0.38,0.14,2.14,0.07,2.6,0.26,17.06,6.37,1.0,0.11,0.0,1055.25
16,Simms #1,31,33.04,13.97,6.68,3.94,3.35,3.58,3.58,3.03,1.61,1.58,1.02,6.29,2.23,35.38,1.97,4.48,43.88,3.35,4.13,81.25,0.32,1.35,0.86,0.16,1.55,0.1,1.58,0.23,11.74,1.61,1.35,0.0,0.0,1024.24
17,David Jackson #32,47,30.13,13.81,3.7,7.57,2.53,4.02,4.02,3.21,3.15,1.06,2.96,2.83,1.23,43.61,3.79,6.45,58.75,2.53,2.85,88.81,0.0,0.94,0.88,0.09,1.87,0.05,1.06,0.15,16.36,3.15,0.94,0.0,0.0,1416.11
18,Bennett #3,44,29.0,13.59,1.36,9.77,2.45,2.66,2.66,1.84,2.82,1.36,2.07,1.73,0.45,26.32,4.89,7.57,64.56,2.45,3.07,80.0,0.0,1.07,0.78,0.02,2.27,0.01,1.36,0.2,14.23,2.82,1.07,0.0,0.0,1276.0
19,Dos Santos #0,20,29.19,13.55,3.3,7.7,2.55,6.35,6.35,4.45,1.55,2.55,0.61,3.0,1.1,36.67,3.85,7.2,53.47,2.55,4.3,59.3,0.6,1.05,0.41,0.45,3.45,0.13,2.55,0.55,13.4,1.55,1.05,0.1,0.0,583.8000000000001
20,Aguerre #27,28,27.85,13.36,5.89,5.71,1.75,5.46,5.46,4.04,1.71,1.61,1.07,4.54,1.96,43.31,2.86,5.25,54.42,1.75,2.36,74.24,0.32,0.93,0.58,0.79,1.86,0.42,1.61,0.54,15.07,1.71,0.93,0.0,0.0,779.8000000000001
21,Alexey #4,38,28.4,13.32,4.97,5.68,2.66,4.39,4.39,3.68,6.45,2.16,2.99,3.84,1.66,43.15,2.84,4.82,59.02,2.66,3.24,82.11,0.0,1.08,0.5,0.05,1.89,0.03,2.16,0.26,18.39,6.45,1.08,0.13,0.0,1079.2
22,Rashaun #17,29,30.3,13.24,9.1,2.21,1.93,4.34,4.34,3.83,1.86,1.72,1.08,7.9,3.03,38.43,1.1,2.24,49.23,1.93,2.38,81.16,0.03,0.79,0.46,0.14,2.72,0.05,1.72,0.28,12.21,1.86,0.79,0.07,0.0,878.7
23,Enzo #30,16,29.5,13.13,7.88,3.25,2.0,4.5,4.5,3.56,2.5,1.5,1.67,7.5,2.63,35.0,1.63,3.5,46.43,2.0,2.5,80.0,0.0,0.75,0.5,0.06,2.38,0.03,1.5,0.13,12.19,2.5,0.75,0.06,0.0,472.0
24,Alex #10,37,30.91,13.11,5.92,5.3,1.89,4.86,4.86,4.32,4.41,2.14,2.06,5.95,1.97,33.18,2.65,4.59,57.65,1.89,2.7,70.0,0.03,1.24,0.58,0.19,2.65,0.07,2.14,0.16,14.95,4.41,1.24,0.05,0.0,1143.67
25,Adyel #4,39,23.14,12.87,4.08,6.21,2.59,3.56,3.56,2.97,3.38,2.33,1.45,6.03,1.36,22.55,3.1,7.85,39.54,2.59,3.33,77.69,0.21,1.9,0.81,0.23,2.51,0.09,2.33,0.18,9.46,3.38,1.9,0.03,0.0,902.46
26,Barnes #34,34,22.79,12.74,6.97,4.76,1.0,1.15,1.15,0.94,2.41,1.21,2.0,5.71,2.32,40.72,2.38,5.53,43.09,1.0,1.15,87.18,0.0,0.29,0.24,0.0,2.12,0.0,1.21,0.12,8.71,2.41,0.29,0.0,0.0,774.86
27,Gaskins #2,37,28.69,12.73,6.16,4.27,2.3,3.43,3.43,2.89,2.68,1.95,1.38,5.19,2.05,39.58,2.14,4.92,43.41,2.3,2.78,82.52,0.0,0.59,0.31,0.0,2.62,0.0,1.95,0.32,11.08,2.68,0.59,0.0,0.0,1061.53
28,Tyrone #0,15,27.62,12.67,5.2,5.33,2.13,5.13,5.13,3.93,2.07,2.07,1.0,6.0,1.73,28.89,2.67,4.6,57.97,2.13,2.93,72.73,0.2,1.53,0.74,0.27,2.73,0.1,2.07,0.07,12.6,2.07,1.53,0.0,0.0,414.3
29,Humberto #19,32,33.28,12.63,5.06,4.75,2.81,4.5,4.5,3.5,2.06,2.25,0.92,5.53,1.69,30.51,2.38,5.56,42.7,2.81,4.06,69.23,0.06,1.22,0.54,0.25,2.38,0.11,2.25,0.19,10.13,2.06,1.22,0.03,0.0,1064.96
30,Materan #10,26,27.52,12.58,6.81,4.69,1.08,4.12,4.12,3.58,2.23,1.81,1.23,5.65,2.27,40.14,2.35,4.23,55.45,1.08,2.23,48.28,0.0,0.81,0.45,0.15,2.65,0.06,1.81,0.42,11.65,2.23,0.81,0.0,0.0,715.52
31,Gabriel Jaú #9,39,24.62,12.56,2.85,7.79,1.92,7.1,7.1,4.77,1.97,2.38,0.83,2.23,0.95,42.53,3.9,5.9,66.09,1.92,3.03,63.56,0.51,0.74,0.31,0.54,2.59,0.21,2.38,0.33,16.15,1.97,0.74,0.21,0.0,960.1800000000001
32,Sheard #3,26,30.79,12.46,6.69,3.31,2.46,1.85,1.85,1.35,3.62,3.19,1.13,6.58,2.23,33.92,1.65,3.23,51.19,2.46,2.88,85.33,0.0,1.0,0.31,0.04,2.88,0.01,3.19,0.38,9.42,3.62,1.0,0.0,0.0,800.54
33,Harris #23,27,27.51,12.26,4.11,5.78,2.37,4.59,4.59,3.48,2.59,2.67,0.97,4.56,1.37,30.08,2.89,6.07,47.56,2.37,3.0,79.01,0.22,1.41,0.53,0.63,2.3,0.27,2.67,0.74,11.81,2.59,1.41,0.04,0.0,742.7700000000001
34,Wesley #21,36,25.57,12.11,3.92,6.22,1.97,5.83,5.83,4.36,1.39,1.81,0.77,4.11,1.31,31.76,3.11,4.97,62.57,1.97,2.58,76.34,0.69,0.61,0.34,0.42,2.14,0.19,1.81,0.36,13.28,1.39,0.61,0.14,0.0,920.52
35,Gui Abreu #33,37,28.91,12.11,2.92,6.81,2.38,5.46,5.46,3.41,1.89,0.92,2.06,3.32,0.97,29.27,3.41,6.0,56.76,2.38,3.08,77.19,0.38,1.16,1.26,0.22,1.76,0.12,0.92,0.11,14.27,1.89,1.16,0.03,0.0,1069.67
36,Maique #35,33,26.71,12.06,3.36,7.21,1.48,6.27,6.27,4.3,1.03,1.42,0.72,2.73,1.12,41.11,3.61,5.24,68.79,1.48,1.7,87.5,0.91,0.42,0.3,1.0,3.18,0.31,1.42,0.39,15.91,1.03,0.42,0.09,0.0,881.4300000000001
37,Renato #15,35,27.97,12.03,2.06,7.66,2.31,6.14,6.14,3.89,2.71,2.43,1.12,2.37,0.69,28.92,3.83,6.71,57.02,2.31,3.14,73.64,0.43,0.77,0.32,0.23,2.26,0.1,2.43,0.23,14.06,2.71,0.77,0.11,0.0,978.9499999999999
38,Williams #1,14,27.81,12.0,3.21,6.43,2.36,2.21,2.21,1.86,0.71,1.0,0.71,2.71,1.07,39.47,3.21,7.29,44.12,2.36,3.29,71.74,0.64,0.86,0.86,0.07,1.86,0.04,1.0,0.29,8.21,0.71,0.86,0.0,0.0,389.34
39,Fischer #5,37,26.56,11.86,4.7,4.32,2.84,3.68,3.68,3.32,4.7,2.08,2.26,4.46,1.57,35.15,2.16,4.03,53.69,2.84,3.68,77.21,0.0,0.84,0.4,0.0,2.05,0.0,2.08,0.11,13.41,4.7,0.84,0.08,0.0,982.7199999999999
40,Da Silva #7,31,26.11,11.81,2.32,7.42,2.06,6.68,6.68,4.81,0.65,1.52,0.43,2.06,0.77,37.5,3.71,6.39,58.08,2.06,3.13,65.98,1.16,0.77,0.51,0.32,2.32,0.14,1.52,0.19,13.68,0.65,0.77,0.29,0.0,809.41
41,Arthur #36,33,27.19,11.79,4.55,5.58,1.67,4.06,4.06,2.88,0.91,1.55,0.59,3.52,1.52,43.1,2.79,6.45,43.19,1.67,2.42,68.75,0.06,0.85,0.55,0.21,2.06,0.1,1.55,0.21,9.85,0.91,0.85,0.03,0.0,897.2700000000001
42,Cuello #44,37,29.02,11.78,5.76,4.54,1.49,3.76,3.76,2.51,3.38,1.38,2.45,4.59,1.92,41.76,2.27,4.08,55.63,1.49,1.92,77.46,0.0,0.7,0.51,0.14,1.38,0.1,1.38,0.19,13.46,3.38,0.7,0.03,0.0,1073.74
43,Leal #2,28,23.32,11.71,0.0,9.29,2.43,6.71,6.71,4.18,1.07,2.14,0.5,0.04,0.0,0.0,4.64,8.04,57.78,2.43,3.96,61.26,0.93,0.71,0.33,0.57,3.64,0.16,2.14,0.36,13.68,1.07,0.71,0.18,0.0,652.96
44,Renan #44,37,28.36,11.7,5.84,4.22,1.65,5.22,5.22,3.7,1.46,1.0,1.46,5.43,1.95,35.82,2.11,3.62,58.21,1.65,1.95,84.72,0.7,0.54,0.54,0.65,2.11,0.31,1.0,0.19,13.27,1.46,0.54,0.03,0.0,1049.32
45,Fuzaro #9,39,29.67,11.69,3.23,6.31,2.15,4.18,4.18,3.49,3.08,1.95,1.58,3.26,1.08,33.07,3.15,5.79,54.42,2.15,2.87,75.0,0.26,1.51,0.78,0.26,2.85,0.09,1.95,0.36,13.23,3.08,1.51,0.05,0.0,1157.13
46,Hettsheimeir #30,31,20.63,11.65,4.74,5.1,1.81,4.26,4.26,3.19,0.65,1.1,0.59,4.0,1.58,39.52,2.55,3.9,65.29,1.81,2.35,76.71,0.1,0.48,0.44,0.1,1.65,0.06,1.1,0.42,11.71,0.65,0.48,0.0,0.0,639.53
47,Holloway #1,20,25.47,11.6,1.95,6.5,3.15,6.3,6.3,4.55,1.65,1.9,0.87,2.35,0.65,27.66,3.25,6.65,48.87,3.15,4.25,74.12,0.1,1.15,0.61,0.3,2.75,0.11,1.9,0.2,12.9,1.65,1.15,0.25,0.0,509.4
48,Gemerson #6,39,30.03,11.38,5.08,4.82,1.49,5.18,5.18,3.72,1.1,1.15,0.96,4.69,1.69,36.07,2.41,4.64,51.93,1.49,2.0,74.36,0.05,0.79,0.69,0.05,3.33,0.02,1.15,0.15,11.62,1.1,0.79,0.08,0.0,1171.17
49,Mãozinha #45,32,28.98,11.22,1.5,8.06,1.66,9.75,9.75,7.38,0.78,0.78,1.0,1.47,0.5,34.04,4.03,5.63,71.67,1.66,2.72,60.92,1.94,1.0,1.28,1.16,2.66,0.44,0.78,0.16,19.5,0.78,1.0,0.47,0.0,927.36
50,Cassiano #7,32,27.27,11.0,3.66,5.44,1.91,3.41,3.41,2.44,3.88,1.81,2.14,3.03,1.22,40.21,2.72,5.94,45.79,1.91,2.66,71.76,0.0,1.06,0.59,0.03,2.69,0.01,1.81,0.41,11.78,3.88,1.06,0.03,0.0,872.64
51,Machuca #8,36,26.59,11.0,6.33,2.22,2.44,2.78,2.78,2.36,4.22,1.86,2.27,5.11,2.11,41.3,1.11,2.25,49.38,2.44,2.81,87.13,0.0,1.17,0.63,0.0,2.08,0.0,1.86,0.31,12.81,4.22,1.17,0.0,0.0,957.24
52,Ronald #6,21,24.9,10.76,0.0,8.48,2.29,8.57,8.57,4.38,0.62,2.0,0.31,0.19,0.0,0.0,4.24,8.24,51.45,2.29,3.62,63.16,0.9,0.33,0.17,0.71,3.1,0.23,2.0,0.19,13.48,0.62,0.33,0.33,0.0,522.9
53,Matheusinho #2,32,24.66,10.63,1.88,6.75,2.0,3.84,3.84,3.22,4.28,2.75,1.56,3.59,0.63,17.39,3.38,7.22,46.75,2.0,3.59,55.65,0.0,1.56,0.57,0.09,2.94,0.03,2.75,0.5,9.25,4.28,1.56,0.03,0.0,789.12
54,Ruivo #4,38,33.28,10.55,5.92,2.26,2.37,2.82,2.82,2.45,7.13,1.76,4.04,5.34,1.97,36.95,1.13,2.68,42.16,2.37,2.82,84.11,0.0,0.92,0.52,0.03,1.29,0.02,1.76,0.11,14.32,7.13,0.92,0.13,0.0,1264.64
55,Dikembe #20,38,23.65,10.47,0.0,8.58,1.89,7.97,7.97,5.08,1.92,2.18,0.88,0.03,0.0,0.0,4.29,8.32,51.58,1.89,4.21,45.0,0.5,0.58,0.27,0.21,2.71,0.08,2.18,0.21,12.61,1.92,0.58,0.21,0.0,898.6999999999999
56,Jefferson #10,25,19.16,10.4,3.96,4.88,1.56,3.96,3.96,2.8,1.0,1.36,0.74,3.68,1.32,35.87,2.44,5.24,46.56,1.56,2.08,75.0,0.0,0.8,0.59,0.2,1.36,0.15,1.36,0.16,9.32,1.0,0.8,0.0,0.0,479.0
57,Von Haydin #30,30,28.42,10.37,5.2,4.27,0.9,4.7,4.7,3.17,2.47,1.9,1.3,5.83,1.73,29.71,2.13,3.57,59.81,0.9,1.13,79.41,0.0,1.07,0.56,0.07,1.2,0.06,1.9,0.37,11.0,2.47,1.07,0.03,0.0,852.6
58,Buffat #9,38,26.06,10.32,3.32,5.37,1.63,3.71,3.71,2.5,2.63,2.53,1.04,3.58,1.11,30.88,2.68,5.08,52.85,1.63,2.24,72.94,0.13,1.21,0.48,0.24,2.47,0.1,2.53,0.34,10.11,2.63,1.21,0.0,0.0,990.28
59,Lessa #32,32,29.43,10.22,4.59,3.88,1.75,3.38,3.38,2.66,4.63,2.69,1.72,4.28,1.53,35.77,1.94,4.56,42.47,1.75,2.47,70.89,0.0,1.13,0.42,0.0,2.19,0.0,2.69,0.28,10.56,4.63,1.13,0.03,0.0,941.76
60,Deodato #1,39,22.06,10.15,5.92,3.49,0.74,3.56,3.56,2.92,1.92,1.56,1.23,5.0,1.97,39.49,1.74,2.77,62.96,0.74,1.23,60.42,0.18,0.74,0.48,0.33,1.44,0.23,1.56,0.18,10.62,1.92,0.74,0.0,0.0,860.3399999999999
61,Dawkins #14,32,25.8,10.13,4.5,4.13,1.5,2.28,2.28,1.78,4.31,2.13,2.03,4.88,1.5,30.77,2.06,4.22,48.89,1.5,2.13,70.59,0.0,1.19,0.56,0.03,1.97,0.02,2.13,0.25,9.66,4.31,1.19,0.09,0.0,825.6
62,André Goes #40,32,26.45,10.09,4.31,3.88,1.91,4.31,4.31,3.75,4.28,1.84,2.32,4.5,1.44,31.94,1.94,4.63,41.89,1.91,2.28,83.56,0.0,1.13,0.61,0.19,2.03,0.09,1.84,0.13,12.03,4.28,1.13,0.0,0.0,846.4
63,L. Lacerda #10,23,23.98,10.04,4.7,3.13,2.22,2.39,2.39,2.04,3.96,1.83,2.17,4.52,1.57,34.62,1.57,3.13,50.0,2.22,2.43,91.07,0.0,0.74,0.4,0.04,1.65,0.03,1.83,0.17,10.61,3.96,0.74,0.0,0.0,551.54
64,Jimmy #18,39,27.14,10.0,4.85,4.67,0.49,3.23,3.23,2.54,1.36,1.26,1.08,4.36,1.62,37.06,2.33,4.67,50.0,0.49,0.67,73.08,0.1,0.92,0.73,0.08,1.74,0.04,1.26,0.15,9.08,1.36,0.92,0.0,0.0,1058.46
65,Marquinhos #11,18,24.86,9.94,3.33,4.11,2.5,3.78,3.78,3.33,2.0,1.5,1.33,3.22,1.11,34.48,2.06,5.11,40.22,2.5,3.22,77.59,0.11,0.78,0.52,0.17,2.33,0.07,1.5,0.06,9.28,2.0,0.78,0.0,0.0,447.48
66,Mathias #12,34,24.73,9.91,1.32,7.24,1.35,7.91,7.91,6.32,0.47,2.09,0.23,1.15,0.44,38.46,3.62,6.56,55.16,1.35,1.88,71.88,0.32,0.38,0.18,1.03,3.09,0.33,2.09,0.38,13.44,0.47,0.38,0.26,0.0,840.82
67,Scheuer #14,28,29.61,9.89,3.54,5.0,1.36,6.11,6.11,4.46,1.32,1.75,0.76,3.36,1.18,35.11,2.5,4.86,51.47,1.36,2.14,63.33,0.79,0.57,0.33,0.39,2.29,0.17,1.75,0.21,11.21,1.32,0.57,0.11,0.0,829.0799999999999
68,Paranhos #24,41,20.93,9.88,0.0,8.59,1.29,5.24,5.24,3.68,0.83,1.51,0.55,0.27,0.0,0.0,4.29,7.15,60.07,1.29,2.17,59.55,0.76,0.59,0.39,0.17,2.54,0.07,1.51,0.32,11.2,0.83,0.59,0.15,0.0,858.13
69,Victão #10,40,24.81,9.88,3.98,4.9,1.0,5.08,5.08,3.43,1.25,1.2,1.04,3.48,1.33,38.13,2.45,4.7,52.13,1.0,1.2,83.33,0.23,0.6,0.5,0.28,2.15,0.13,1.2,0.23,11.28,1.25,0.6,0.0,0.0,992.4
70,Pedro #9,34,31.34,9.85,4.24,4.06,1.56,3.47,3.47,3.12,2.59,2.06,1.26,5.44,1.41,25.95,2.03,4.5,45.1,1.56,2.29,67.95,0.0,1.59,0.77,0.18,2.44,0.07,2.06,0.47,8.38,2.59,1.59,0.0,0.0,1065.56
71,Hamilton #6,34,21.44,9.74,3.79,4.88,1.06,3.88,3.88,2.53,2.06,1.56,1.32,3.32,1.26,38.05,2.44,5.09,47.98,1.06,1.35,78.26,0.0,0.82,0.53,0.12,2.32,0.05,1.56,0.5,10.06,2.06,0.82,0.0,0.0,728.96
72,Zach Graham #32,29,19.92,9.69,3.83,4.14,1.72,1.76,1.76,1.62,1.17,1.55,0.76,3.76,1.28,33.94,2.07,4.21,49.18,1.72,2.31,74.63,0.0,0.38,0.24,0.21,1.28,0.16,1.55,0.31,6.45,1.17,0.38,0.0,0.0,577.6800000000001
73,Martinez #34,27,25.18,9.63,5.11,3.48,1.04,4.04,4.04,3.22,0.85,0.78,1.1,5.48,1.7,31.08,1.74,3.07,56.63,1.04,1.33,77.78,0.07,0.93,1.19,0.04,2.19,0.02,0.78,0.19,9.3,0.85,0.93,0.0,0.0,679.86
74,Eddy #33,35,25.23,9.51,5.91,2.69,0.91,3.14,3.14,2.54,1.94,1.14,1.7,5.63,1.97,35.03,1.34,2.37,56.63,0.91,1.23,74.42,0.14,0.71,0.63,0.23,2.4,0.1,1.14,0.17,9.4,1.94,0.71,0.03,0.0,883.0500000000001
75,Corvalán #7,34,21.06,9.5,3.97,3.06,2.47,1.85,1.85,1.56,1.62,1.59,1.02,3.65,1.32,36.29,1.53,2.82,54.17,2.47,3.03,81.55,0.09,0.85,0.54,0.03,2.26,0.01,1.59,0.32,8.09,1.62,0.85,0.0,0.0,716.04
76,Veríssimo #11,35,24.42,9.49,1.2,6.29,2.0,5.46,5.46,3.97,1.74,1.29,1.36,1.71,0.4,23.33,3.14,5.91,53.14,2.0,2.91,68.63,0.0,1.6,1.24,0.14,2.34,0.06,1.29,0.17,12.14,1.74,1.6,0.09,0.0,854.7
77,Smith #0,28,18.18,9.46,3.32,4.86,1.29,2.11,2.11,0.96,1.32,0.86,1.54,2.54,1.11,43.66,2.43,4.96,48.92,1.29,1.61,80.0,0.07,0.61,0.71,0.0,2.18,0.0,0.86,0.11,8.36,1.32,0.61,0.0,0.0,509.03999999999996
78,Vildoza #11,33,22.54,9.24,5.09,2.85,1.3,2.58,2.58,2.42,2.97,1.82,1.63,5.09,1.7,33.33,1.42,3.12,45.63,1.3,1.55,84.31,0.0,0.88,0.48,0.03,1.85,0.02,1.82,0.15,8.55,2.97,0.88,0.0,0.0,743.8199999999999
79,Lupa #18,15,18.96,9.2,0.0,6.67,2.53,5.0,5.0,3.13,1.13,1.6,0.71,0.0,0.0,0.0,3.33,6.4,52.08,2.53,3.47,73.08,0.0,0.4,0.25,0.07,2.87,0.02,1.6,0.13,10.2,1.13,0.4,0.07,0.0,284.40000000000003
80,Brite #3,39,20.74,9.13,4.08,3.95,1.1,2.56,2.56,1.77,2.33,1.1,2.12,3.79,1.36,35.81,1.97,4.0,49.36,1.1,1.36,81.13,0.03,1.36,1.23,0.08,2.44,0.03,1.1,0.18,9.64,2.33,1.36,0.03,0.0,808.8599999999999
81,Cauê Borges #4,19,23.01,9.05,3.0,3.58,2.47,3.21,3.21,2.74,3.26,1.53,2.14,3.58,1.0,27.94,1.79,3.89,45.95,2.47,2.95,83.93,0.0,0.58,0.38,0.05,1.84,0.03,1.53,0.11,9.47,3.26,0.58,0.05,0.0,437.19000000000005
82,Pierotti #4,34,22.75,9.0,2.82,3.65,2.53,1.88,1.88,1.41,2.76,1.03,2.69,3.38,0.94,27.83,1.82,4.03,45.26,2.53,3.21,78.9,0.0,0.59,0.57,0.0,1.68,0.0,1.03,0.15,7.88,2.76,0.59,0.0,0.0,773.5
83,Gerson #1,29,21.36,8.97,0.0,7.17,1.79,3.52,3.52,2.24,0.34,0.97,0.36,0.07,0.0,0.0,3.59,5.97,60.12,1.79,2.45,73.24,0.59,0.55,0.57,0.21,2.34,0.09,0.97,0.14,9.52,0.34,0.55,0.0,0.0,619.4399999999999
84,Dimitri #11,32,14.62,8.94,2.53,5.13,1.28,1.66,1.66,1.0,0.78,0.72,1.09,2.63,0.84,32.14,2.56,4.41,58.16,1.28,2.16,59.42,0.0,0.28,0.39,0.09,1.81,0.05,0.72,0.09,6.53,0.78,0.28,0.0,0.0,467.84
85,Novaes #13,35,25.89,8.86,1.71,5.54,1.6,4.63,4.63,2.74,1.43,1.57,0.91,1.86,0.57,30.77,2.77,5.06,54.8,1.6,2.06,77.78,0.17,0.66,0.42,0.23,1.91,0.12,1.57,0.4,10.2,1.43,0.66,0.0,0.0,906.15
86,Deryk #3,34,25.1,8.82,2.03,5.71,1.09,2.47,2.47,1.82,2.03,1.53,1.33,2.62,0.68,25.84,2.85,5.62,50.79,1.09,1.47,74.0,0.0,0.91,0.6,0.03,1.76,0.02,1.53,0.09,7.65,2.03,0.91,0.0,0.0,853.4000000000001
87,Fabricio #10,32,23.6,8.78,6.47,1.25,1.06,3.06,3.06,2.66,1.63,0.97,1.68,5.28,2.16,40.83,0.63,1.16,54.05,1.06,1.66,64.15,0.0,0.63,0.65,0.09,2.03,0.05,0.97,0.06,8.97,1.63,0.63,0.0,0.0,755.2
88,Siewert #23,42,19.85,8.74,6.29,1.9,0.55,2.9,2.9,2.07,0.43,0.62,0.69,4.6,2.1,45.6,0.95,1.76,54.05,0.55,0.64,85.19,0.07,0.62,1.0,0.21,2.5,0.09,0.62,0.07,8.88,0.43,0.62,0.02,0.0,833.7
89,Pecos #14,35,20.85,8.66,1.63,5.54,1.49,4.54,4.54,3.66,4.29,1.34,3.19,1.69,0.54,32.2,2.77,5.83,47.55,1.49,1.86,80.0,0.0,0.8,0.6,0.06,1.46,0.04,1.34,0.14,12.43,4.29,0.8,0.0,0.0,729.75
90,Elder #3,16,23.19,8.63,2.63,4.75,1.25,3.63,3.63,2.56,1.25,1.38,0.91,3.31,0.88,26.42,2.38,5.31,44.71,1.25,2.06,60.61,0.13,1.13,0.82,0.06,1.38,0.05,1.38,0.19,7.13,1.25,1.13,0.06,0.0,371.04
