Munícipio,janeiro,fevereiro,março,abril,maio,junho,julho,agosto,setembro,outubro,novembro,dezembro,,
São Vicente,0,0,0,0,0,0,0,0,0,0,1,0,-23.9574,-46.3883
Cuiabá,1,1,1,2,2,0,0,0,0,0,1,1,-15.601,-56.0974
Palmas,0,0,0,0,0,0,0,0,0,0,1,0,-10.24,-48.3558
Rio Branco,0,0,0,0,0,0,0,0,0,0,1,0,-9.97499,-67.8243
Cruzeiro de Sul,0,0,0,0,0,0,0,0,0,0,1,0,-7.62762,-72.6756
Xapuri,0,0,0,0,0,0,0,0,0,0,1,0,-10.6516,-68.4969
Plácido de Castro,0,0,0,0,0,0,0,0,0,0,1,0,-10.2806,-67.1371
Porto Acre,0,0,0,0,0,0,0,0,0,0,1,0,-9.58138,-67.5478
Jaciara,0,0,0,0,0,0,0,0,0,1,1,0,-15.9548,-54.9733
Primavera do Leste,0,0,0,0,0,0,0,0,0,1,1,0,-15.544,-54.2811
Cáceres ,0,0,0,0,0,0,0,0,0,0,1,1,-16.0764,-57.6818
Vitória,0,0,1,0,0,0,0,0,0,0,0,0,-20.3155,-40.3128
Mandirituba,0,0,1,0,0,0,0,0,0,0,0,0,-25.777,-49.3282
Curitiba,0,0,1,0,0,0,0,0,0,0,0,0,-25.4195,-49.2646
Colombo,0,0,1,0,0,0,0,0,0,0,0,0,-25.2925,-49.2262
São José dos Pinhais,0,0,1,0,0,0,0,0,0,0,0,0,-25.5313,-49.2031
Fazenda Rio Grande,0,0,1,0,0,0,0,0,0,0,0,0,-25.6624,-49.3073
Pinhais,0,0,1,0,0,0,0,0,0,0,0,0,-25.4429,-49.1927
Araucária,0,0,1,0,0,0,0,0,0,0,0,0,-25.5859,-49.4047
Almirante Tamandará,0,0,1,0,0,0,0,0,0,0,0,0,-25.3188,-49.3037
Clementina,1,1,1,0,0,0,0,0,0,0,0,0,-21.5604,-50.4525
Nova Andradina,0,0,0,0,0,0,0,0,0,1,0,0,-22.238,-53.3437
Marechal Cândido Rondon,0,0,0,0,0,0,0,0,0,0,0,1,-24.557,-54.0571
Terra Roxa,0,0,1,0,0,0,0,0,0,0,0,0,-20.787,-48.3314
Itapeva,0,1,1,1,0,0,0,0,0,0,0,0,-23.5488,-46.9327
Salvador,0,0,0,1,0,0,0,0,0,0,0,0,-12.9718,-38.5011
Brusque,0,1,1,1,0,0,0,0,0,0,0,0,-27.0977,-48.9107
Rio Paranaíba,0,0,0,1,0,0,0,0,0,0,0,0,-19.1861,-46.2455
Rolim de Moura,0,0,0,1,0,0,0,0,0,0,0,0,-11.7271,-61.7714
São Gabriel,1,1,1,1,1,0,0,0,0,0,0,0,-30.3337,-54.3217
Maringá,1,1,1,1,1,0,0,0,0,0,0,0,-23.4205,-51.9333
Entre Rios do Oeste,1,1,1,1,1,0,0,0,0,0,0,0,-24.7042,-54.2385
Batayporã,0,0,0,0,0,0,0,0,0,0,1,0,-22.2944,-53.2705
Petrolina,0,0,0,0,0,0,0,0,0,0,1,0,-9.38866,-40.5027
Itajobi,0,0,0,0,0,0,1,0,0,0,0,0,-21.3123,-49.0629
