,nome,estado,latitude,longitude
4233,Rio Paranaíba,31,-19.1861,-46.2455
4234,Rio Pardo,43,-29.988,-52.3711
4235,Rio Pardo de Minas,31,-15.616,-42.5405
4236,Rio Piracicaba,31,-19.9284,-43.1829
4237,Rio Pomba,31,-21.2712,-43.1696
4238,Rio Preto,31,-22.0861,-43.8293
4239,Rio Preto da Eva,13,-2.7045,-59.6858
4240,Rio Quente,52,-17.774,-48.7725
4241,Rio Real,29,-11.4814,-37.9332
4242,Rio Rufino,42,-27.8592,-49.7754
4243,Rio Sono,17,-9.35002,-47.888
4244,Rio Tinto,25,-6.80383,-35.0776
4245,Rio Verde,52,-17.7923,-50.9192
4246,Rio Verde de Mato Grosso,50,-18.9249,-54.8434
4247,Rio Vermelho,31,-18.2922,-43.0018
4248,Riolândia,35,-19.9868,-49.6836
4249,Riozinho,43,-29.639,-50.4488
4250,Riqueza,42,-27.0653,-53.3265
4251,Ritápolis,31,-21.0276,-44.3204
4252,Riversul,35,-23.829,-49.429
4253,Roca Sales,43,-29.2884,-51.8658
4254,Rochedo,50,-19.9565,-54.8848
4255,Rochedo de Minas,31,-21.6284,-43.0165
4256,Rodeio,42,-26.9243,-49.3649
4257,Rodeio Bonito,43,-27.4742,-53.1706
4258,Rodeiro,31,-21.2035,-42.8586
4259,Rodelas,29,-8.85021,-38.78
4260,Rodolfo Fernandes,24,-5.78393,-38.0579
4261,Rodrigues Alves,12,-7.73864,-72.661
4262,Rolador,43,-28.2566,-54.8186
4263,Rolândia,41,-23.3101,-51.3659
4264,Rolante,43,-29.6462,-50.5819
4265,Rolim de Moura,11,-11.7271,-61.7714
4266,Romaria,31,-18.8838,-47.5782
4267,Romelândia,42,-26.6809,-53.3172
4268,Roncador,41,-24.5958,-52.2716
4269,Ronda Alta,43,-27.7758,-52.8056
4270,Rondinha,43,-27.8315,-52.9081
4271,Rondolândia,51,-10.8376,-61.4697
4272,Rondon,41,-23.412,-52.7659
4273,Rondon do Pará,15,-4.77793,-48.067
4274,Rondonópolis,51,-16.4673,-54.6372
4275,Roque Gonzales,43,-28.1297,-55.0266
4276,Rorainópolis,14,0.939956,-60.4389
4277,Rosana,35,-22.5782,-53.0603
4278,Rosário,21,-2.93444,-44.2531
4279,Rosário da Limeira,31,-20.9812,-42.5112
4280,Rosário do Catete,28,-10.6904,-37.0357
4281,Rosário do Ivaí,41,-24.2682,-51.272
4282,Rosário do Sul,43,-30.2515,-54.9221
4283,Rosário Oeste,51,-14.8259,-56.4236
4284,Roseira,35,-22.8938,-45.307
4285,Roteiro,27,-9.83503,-35.9782
4286,Rubelita,31,-16.4053,-42.261
4287,Rubiácea,35,-21.3006,-50.7296
4288,Rubiataba,52,-15.1617,-49.8048
4289,Rubim,31,-16.3775,-40.5397
4290,Rubinéia,35,-20.1759,-51.007
4291,Rurópolis,15,-4.10028,-54.9092
4292,Russas,23,-4.92673,-37.9721
4293,Ruy Barbosa,24,-5.88745,-35.933
4294,Ruy Barbosa,29,-12.2816,-40.4931
4295,Sabará,31,-19.884,-43.8263
4296,Sabáudia,41,-23.3155,-51.555
4297,Sabino,35,-21.4593,-49.5755
4298,Sabinópolis,31,-18.6653,-43.0752
4299,Saboeiro,23,-6.5346,-39.9017
4300,Sacramento,31,-19.8622,-47.4508
