placa,I1,O1,I2
BEE6J87,716.72,3570.0,3771.199211510962
BEE6J88,322.24,1753.0,2258.472583881205
BEE6J91,91.26,0.0,3342.1321153376166
BEE7A12,449.86,2374.0,2638.992183564841
BEE7A16,109.53,479.0,607.5164712681258
BEE7A21,594.56,3483.0,1654.893615302541
BEE7A24,335.28000000000003,1206.0,1112.6060390672203
BEE7A26,324.61,1170.0,773.5923040740704
BEE7A29,21.5,0.0,1016.9742336306416
BEE7A32,786.76,3631.0,5728.244058017253
BEE7A35,446.18000000000006,2128.0,1196.729574096699
BEE7A36,240.82999999999998,650.0,3193.839678507813
BEE7A38,274.94,831.5,2060.6170098783564
BEE7A39,436.93000000000006,2280.0,1225.1289380156363
BEE7A41,307.2,1329.0,2422.330179993943
BEE7A42,498.1,2785.0,1295.1473220540115
BEE7A43,454.05999999999995,2327.0,1404.5684274884136
BEE7A45,475.0,1854.0,2654.148596527776
BEE7A46,270.25,1785.0,816.6622073079822
BEE7A52,600.14,3238.0,3801.9223572030673
BEE7A54,278.28000000000003,1426.0,3300.498424985701
BEE7A55,462.78000000000003,1804.0,1865.8138154713563
BEE7A57,203.38000000000002,1277.0,1720.0924986224827
BEE7A59,475.0,2231.0,1732.3469542168996
BEE7A62,161.82,332.0,1494.0774346903804
BEE7A63,377.85999999999996,1771.0,2242.069402903706
BEE7A64,367.26,1871.0,1131.3989238278637
BEE7A65,177.52,544.0,1844.204694801214
BEE7A89,146.73000000000002,309.0,732.8639740498705
BEE7A91,361.02000000000004,1420.0,1709.9104413170717
BEE7A92,903.1099999999999,6874.0,2078.2251901866293
BEE7A93,336.77,1207.0,1348.3922732327126
BEF2B63,248.45,793.0,4028.987310250907
BEF2B67,751.92,4078.0,1696.628968042539
BEF2B68,588.53,1821.0,1556.3745948587748
BEF2B70,567.26,1822.0,3831.383528157808
BEF2B72,248.84,1164.0,1213.5496611553444
BEF2B73,448.92,2239.0,1027.1047763254346
BEF2B75,386.17999999999995,1975.0,2542.483340387869
BEF2B81,528.18,2992.0,1086.8816448286348
BEF2B82,594.3,2909.0,5682.689603703138
BEF2B83,207.89,539.0,1153.0701947281443
BEF2B84,512.46,3197.0,4559.552081854309
BEF2B87,431.94,1518.0,1196.4115768416295
BEF2B88,472.38,2068.0,711.2322352352869
BEF2B91,431.12,2200.0,2264.6905524238477
BEF2B93,567.0899999999999,2424.5,2298.6295983166297
BEF2B97,539.04,2774.0,3514.8497121288624
BEF2B99,448.78999999999996,2322.0,1315.2165430826317
SDS6D19,590.38,3083.0,1914.7362803124763
SDS6D20,326.26,2505.0,2538.467516472461
SDS6D21,528.12,2046.0,1774.4566261734788
SDS6D22,416.77,2226.0,2300.6362332379013
SDS6D23,352.39,1326.0,1680.839599609197
SDS6D24,444.28999999999996,1804.0,967.2025280988336
SDS6D25,393.69,1883.0,1262.986710748575
SDS6D26,985.8299999999999,6960.0,2216.3612224141093
SDS6D28,425.85,1525.0,3734.016306344884
SDS6D29,410.08,2407.0,2772.1192990775653
SDS6D42,553.17,2522.5,3046.063494356189
SDS6D43,500.40999999999997,1987.0,2391.56292632709
SDS6D44,632.4300000000001,3168.0,4599.468946087785
SDS6D45,285.98,1689.0,1421.1579332280764
SDS6E36,249.71999999999997,687.0,4469.2143709784
SDS6E37,437.35,2030.0,1313.7879074361065
SDS6E39,259.87,728.0,1824.196525839938
SDS6F80,571.49,2650.0,2353.7816989204425
SDS6F81,601.02,3391.0,2924.098496179146
SDS6F82,280.26,1417.0,3002.410800669175
SDS6F83,474.09000000000003,2451.0,1611.6855483789827
SDS6F84,424.66999999999996,1642.0,2358.787476703324
SDS6F85,534.5899999999999,2540.0,1065.0359914635703
SDS6F87,398.72,2160.0,1528.9002714516926
SDS6F89,406.61,1251.0,2210.250568726346
SDS6F90,330.84000000000003,1027.0,2825.542622872582
SDS6F91,410.95,1809.0,2702.9634313495594
SDS6F92,651.7,2627.0,2314.165102740006
SDS6F93,145.24,308.0,3958.845828250042
SDS6F94,648.2,4327.0,3913.3995920241873
SDS6F95,423.23999999999995,2154.0,1492.3118231654755
SDS6F96,123.07,183.0,920.41569941779
